searchTerm,rank,result,count
jobbörse, 1, https://www.arbeitsagentur.de/leichte-sprache/1463061118391, 1946
bab, 1, https://www.arbeitsagentur.de/bildung/ausbildung/berufsausbildungsbeihilfe-bab, 1103
Berufsausbildungsbeihilfe, 1, https://www.arbeitsagentur.de/bildung/ausbildung/berufsausbildungsbeihilfe-bab, 996
Jobbörse, 1, https://www.arbeitsagentur.de/leichte-sprache/1463061118391, 952
BAB, 1, https://www.arbeitsagentur.de/bildung/ausbildung/berufsausbildungsbeihilfe-bab, 890
Arbeitslosengeld, 1, https://www.arbeitsagentur.de/arbeitslos-arbeit-finden/arbeitslosengeld-oder-arbeitslosengeld-2-beantragen, 534
arbeitsbescheinigung, 2, https://www.arbeitsagentur.de/unternehmen/download-center-unternehmen, 467
Kindergeld, 1, https://www.arbeitsagentur.de/familie-und-kinder/kino, 430
Bab, 1, https://www.arbeitsagentur.de/bildung/ausbildung/berufsausbildungsbeihilfe-bab, 424
arbeitsbescheinigung, 6, https://www.arbeitsagentur.de/formulare-a-z, 414
Arbeitslosengeld beantragen, 2, https://www.arbeitsagentur.de/arbeitslos-arbeit-finden/so-beantragen-sie-arbeitslosengeld, 414
Arbeitsbescheinigung, 2, https://www.arbeitsagentur.de/unternehmen/download-center-unternehmen, 392
Arbeitsbescheinigung, 4, https://www.arbeitsagentur.de/formulare-a-z, 387
Urlaub, 1, https://www.arbeitsagentur.de/arbeitslos-arbeit-finden/urlaub-und-umzug, 352
lernbörse, 4, https://www.arbeitsagentur.de/karriere-und-weiterbildung/online-trainings, 340
kindergeld, 1, https://www.arbeitsagentur.de/familie-und-kinder/kino, 332
lernbörse, 1, https://www.arbeitsagentur.de/karriere-und-weiterbildung/lernboerse-tipps-zur-nutzung, 288
Kindergeld, 2, https://www.arbeitsagentur.de/familie-und-kinder/kindergeld, 277
arbeitssuchend melden, 4, https://www.arbeitsagentur.de/content/1463062154781, 277
kindergeld, 2, https://www.arbeitsagentur.de/familie-und-kinder/kindergeld, 269
Kindergeld, 3, https://www.arbeitsagentur.de/kindergeld-nach-schulabschluss, 267
Bildungsgutschein, 1, https://www.arbeitsagentur.de/bildungsgutschein, 262
bewerbung, 1, https://www.arbeitsagentur.de/bewerbung, 259
Ausbildungsplätze, 1, https://www.arbeitsagentur.de/jetzt-ausbildungsplatz-sichern, 251
arbeitssuchend melden, 5, https://www.arbeitsagentur.de/arbeitslos-arbeit-finden/erste-schritte-arbeitslosigkeit, 219
